company_names,cars_names,car_types,engines,fuel_types_cleaned,cc_battery_capacity,horsepower,total_speed,performance_0_100_km/h,seats,torque,cars_prices_cad,cars_prices_usd
TOYOTA,BZ4X,Sedan,ELECTRIC,Electric,64.8 kwh (Base Model)72.8 kwh (Higher End Model,218.0,200.0,7.5,5.0,330.0,58590.0,43400.0
TOYOTA,CROWN,Sedan,HYBRID,Hybrid,2494 cc,236.0,200.0,7.6,5.0,400.0,51840.0,38400.0
TOYOTA,MR2,Sedan,I4,Gas,1986 cc,168.0,200.0,6.9,2.0,400.0,39150.0,29000.0
TOYOTA,CELICA,Sedan,I4,Gas,1986 cc,140.0,200.0,8.5,5.0,250.0,33750.0,25000.0
HONDA,CITY,Sedan,I4,Gas,1497 cc,119.0,180.0,10.2,5.0,145.0,20790.0,15400.0
HONDA,CIVIC,Sedan,I4,Gas,1996 cc,158.0,200.0,8.5,5.0,400.0,27540.0,20400.0
HYUNDAI,I10,Others,"1.2L,4-CYLINDER,INLINE-4(I4)",Gas,1197 cc,87.0,160.0,12.2,5.0,120.0,16740.0,12400.0
HYUNDAI,I20,Others,"1.4L,4-CYLINDER,INLINE-4(I4)",Gas,1396 cc,99.0,180.0,10.5,5.0,250.0,20790.0,15400.0
HYUNDAI,ELANTRA,Sedan,"2.0L,4-CYLINDER,INLINE-4(I4)",Gas,1999 cc,147.0,200.0,9.5,5.0,250.0,24840.0,18400.0
MAHINDRA,XUV500,Suv,"2.2L,4-CYLINDER,INLINE-4(I4)",Gas,2179 cc,155.0,180.0,10.5,7.0,400.0,24840.0,18400.0
MAHINDRA,SCORPIO,Suv,"2.2L,4-CYLINDER,INLINE-4(I4)",Gas,2179 cc,140.0,160.0,11.2,7.0,280.0,22140.0,16400.0
MAHINDRA,THAR,Sedan,"2.0L,4-CYLINDER,INLINE-4(I4)",Gas,1997 cc,150.0,180.0,10.5,4.0,320.0,27540.0,20400.0
MARUTI SUZUKI,SWIFT,Others,"1.2L,4-CYLINDER,INLINE-4(I4)",Gas,1197 cc,83.0,160.0,12.2,5.0,113.0,14040.0,10400.0
MARUTI SUZUKI,DZIRE,Others,"1.2L,4-CYLINDER,INLINE-4(I4)",Gas,1197 cc,83.0,160.0,12.2,5.0,113.0,15390.0,11400.0
MARUTI SUZUKI,BREZZA,Sedan,"1.5L,4-CYLINDER,INLINE(I4)",Gas,1462 cc,103.0,180.0,11.5,5.0,200.0,19440.0,14400.0
TOYOTA,PRIUS PRIME,Sedan,"2.0L,4-CYLINDER,WITH HYBRID SYSTEM",Hybrid,1998 cc,220.0,180.0,6.7,5.0,220.0,41985.0,31100.0
TOYOTA,GR COROLLA,Sedan,"1.6L,TURBOCHARGED INLINE-3",Gas,1618 cc,300.0,230.0,7.568661679135495,5.0,370.0,49943.2,36995.0
TOYOTA,LAND CRUISER 300,Suv,"3.3L,V6,TWIN TURBO DIESEL",Gas,3346 cc,305.0,210.0,6.8,7.0,650.0,78975.0,58500.0
TOYOTA,TUNDRA I-FORCE MAX,Sedan,"3.5L,V6,HYBRID TWIN-TURBO",Hybrid,3445 cc,437.0,180.0,6.2,5.0,750.0,75600.0,56000.0
TOYOTA,COROLLA HATCHBACK XSE,Sedan,"2.0L,INLINE-4",Gas,1987 cc,169.0,190.0,8.2,5.0,250.0,34276.5,25390.0
TOYOTA,MIRAI,Sedan,"HYDROGEN FUEL CELL,ELECTRIC MOTOR",Electric,1.24 kwh,152.0,180.0,9.0,5.0,335.0,66825.0,49500.0
TOYOTA,HILUX GR SPORT,Sedan,"2.8L,TURBO,DIESEL",Gas,2755 cc,224.0,170.0,10.0,5.0,500.0,67500.0,50000.0
TOYOTA,ALPHARD EXECUTIVE LOUNGE,Suv,"2.5L,INLINE-4,HYBRID,OR 3.5L,V6",Gas,HYBRID(2494 cc)V6(3456 cc),296.0,180.0,8.5,7.0,400.0,81000.0,60000.0
TOYOTA,FORTUNER GR SPORT,Suv,"2.8L,TURBO,DIESEL",Gas,2755 cc,204.0,175.0,10.5,7.0,500.0,74250.0,55000.0
TOYOTA,INNOVA HYCROSS,Suv,2.0L HYBRID,Hybrid,1987 cc,184.0,165.0,9.5,7.0,250.0,54000.0,40000.0
TOYOTA,COASTER,Bus/truck,"4.0L,DIESEL",Gas,4009 cc,134.0,120.0,7.568661679135495,20.0,500.0,94500.0,70000.0
TOYOTA,URBAN CRUISER TAISOR,Sedan,"1.5L,HYBRID",Gas,1490 cc,114.0,170.0,11.0,5.0,130.0,33750.0,25000.0
TOYOTA,AYGO X,Others,"1.0L,INLINE-3",Gas,998 cc,71.0,160.0,14.8,4.0,93.0,24300.0,18000.0
TOYOTA,HILUX REVO ROCCO,Sedan,"2.8L,TURBO,DIESEL",Gas,2755 cc,204.0,175.0,10.0,5.0,500.0,67500.0,50000.0
TOYOTA,PROACE VERSO ELECTRIC,Suv,ELECTRIC MOTOR,Electric,75 KWH,136.0,130.0,13.5,7.0,280.0,74250.0,55000.0
TOYOTA,CENTURY SUV,Sedan,"3.5L,V6,PLUG IN HYBRID",Gas,3456 cc,406.0,200.0,6.0,5.0,500.0,229500.0,170000.0
TOYOTA,COROLLA SEDAN HYBRID,Sedan,"1.8L,HYBRID",Hybrid,1798 cc,134.0,180.0,10.0,5.0,300.0,32400.0,24000.0
TOYOTA,BZ3,Sedan,ELECTRIC MOTOR,Electric,65 KWH,241.0,160.0,7.5,5.0,340.0,47250.0,35000.0
TOYOTA,GR YARIS,Sedan,"1.6L,TURBOCHARGED INLINE-3",Gas,1618 cc,268.0,230.0,5.5,4.0,390.0,60750.0,45000.0
HYUNDAI,SANTA FE,Suv,1.6L PETROL + PLUG IN HYBRID SYSTEM,Gas,1600 cc,253.0,180.0,9.3,7.0,420.0,67500.0,50000.0
HYUNDAI,IONIQ 5,Sedan,ELECTRIC MOTOR,Electric,72.6 KWH,225.0,185.0,7.4,5.0,350.0,55350.0,41000.0
HYUNDAI,Santa Cruz,Sedan,2.5L Turbocharged Inline-4,Gas,2500 cc,281.0,215.0,6.5,5.0,400.0,55078.6,40799.0
HYUNDAI,Kona,Sedan,1.6L PETROL ,Gas,1591 cc,147.0,185.0,7.568661679135495,5.0,400.0,27675.0,20500.0
HYUNDAI,Elantra,Sedan,2.0L Inline-4,Gas,2000 cc,147.0,210.0,8.3,5.0,250.0,26932.5,19950.0
NISSAN,Urvan,Bus/truck,2.5L Turbo Diese,Gas,nan,2488.0,140.0,14.0,15.0,356.0,37800.0,28000.0
HYUNDAI,IONIQ 6,Sedan,Electric Motor,Electric,53.6 kwh(Standard Range) / 77.4 kwh(Long Range),320.0,185.0,5.2,5.0,350.0,55957.5,41450.0
HYUNDAI,Tucson,Sedan,2.5L Inline-4,Gas,2500 cc,187.0,180.0,6.1,5.0,400.0,41175.0,30500.0
HYUNDAI,Palisade,Suv,3.8L V6,Gas,3800 cc,291.0,240.0,6.3,7.0,355.0,70200.0,52000.0
HYUNDAI,Sonata,Sedan,2.5L Inline-4,Gas,2500 cc,191.0,240.0,8.0,5.0,250.0,33750.0,25000.0
HYUNDAI,Accent,Sedan,1.6L Inline-4,Gas,1600 cc,120.0,180.0,9.8,5.0,151.0,20250.0,15000.0
HYUNDAI,Venue,Sedan,1.6L Inline-4,Gas,1600 cc,121.0,180.0,9.5,5.0,240.0,24300.0,18000.0
HYUNDAI,KONA Electric,Sedan,Electric Motor,Electric,39.2 kwh,200.0,200.0,6.1,5.0,395.0,54000.0,40000.0
HYUNDAI,Veloster,Sedan,2.0L Inline-4,Gas,2000 cc,275.0,220.0,6.0,4.0,264.0,33750.0,25000.0
HYUNDAI,NEXO,Sedan,Electric Motor,Electric,1.56 kwh,161.0,180.0,7.8,5.0,400.0,51300.0,38000.0
HYUNDAI,Ioniq,Sedan,1.6L Inline-4,Hybrid,1600 cc,139.0,160.0,8.5,5.0,295.0,24300.0,18000.0
HYUNDAI,Genesis,Sedan,3.8L V6,Gas,3800 cc,291.0,240.0,6.3,5.0,400.0,70200.0,52000.0
HYUNDAI,Azera,Sedan,3.3L V6,Gas,3300 cc,278.0,240.0,6.5,5.0,250.0,74250.0,55000.0
HYUNDAI,Equus,Sedan,3.3L V6,Gas,3300 cc,278.0,240.0,6.5,5.0,400.0,74250.0,55000.0
HYUNDAI,Tiburon,Sedan,2.0L Inline-4,Gas,2000 cc,160.0,200.0,8.2,4.0,320.0,25650.0,19000.0
HYUNDAI,Elantra GT,Sedan,1.6L Turbo GDI 4-cylinder,Gas,2000 cc,160.0,200.0,8.3,5.0,320.0,29700.0,22000.0
Volkswagen,Golf,Sedan,1.5L Turbo I4 / Electric,Gas,1498 cc / 40 - 58 kWh,110.0,210.0,8.5,5.0,250.0,31050.0,23000.0
Volkswagen,Passat,Sedan,2.0L Turbo I4,Gas,1984 cc,150.0,210.0,7.8,5.0,250.0,33750.0,25000.0
Volkswagen,Tiguan,Suv,2.0L Turbo I4,Gas,1984 cc,150.0,209.0,8.5,7.0,300.0,38481.8,28505.0
Volkswagen,Jetta,Sedan,1.5L Turbo I4,Gas,1498 cc,150.0,210.0,7.7,5.0,250.0,29693.3,21995.0
Volkswagen,Polo,Others,1.0L Turbo I3 / 1.6L Diesel,Gas,999 cc / 1598 cc,80.0,190.0,9.5,5.0,175.0,24300.0,18000.0
Volkswagen,Arteon,Sedan,2.0L Turbo I4,Gas,1984 cc,150.0,250.0,5.6,5.0,350.0,62100.0,46000.0
Volkswagen,ID.4,Sedan,Electric,Electric,77 kWh,201.0,160.0,7.8,5.0,310.0,53642.2,39735.0
Volkswagen,Up!,Others,Electric,Gas,32.3 kWh,82.0,160.0,13.0,4.0,95.0,20250.0,15000.0
Volkswagen,Touareg,Sedan,3.0L V6 Turbo Diesel / 4.0L V8,Gas,2967 cc / 3956 cc,231.0,235.0,5.9,5.0,600.0,74250.0,55000.0
Volkswagen,Scirocco,Sedan,2.0L Turbo I4,Gas,1984 cc,125.0,233.0,6.0,4.0,350.0,47250.0,35000.0
Volkswagen,Beetle,Sedan,2.0L Turbo I4,Gas,1984 cc,105.0,205.0,7.0,4.0,240.0,27000.0,20000.0
Volkswagen,Amarok,Sedan,3.0L V6 Turbo Diesel,Gas,2967 cc,163.0,180.0,7.9,5.0,550.0,54000.0,40000.0
Volkswagen,T-Roc,Sedan,2.0L Turbo I4,Gas,1984 cc,115.0,205.0,7.2,5.0,320.0,40500.0,30000.0
Volkswagen,Sharan,Suv,2.0L Turbo I4,Gas,1984 cc,150.0,200.0,9.3,7.0,280.0,44550.0,33000.0
Volkswagen,Caddy,Suv,1.5L Turbo I4,Gas,1498 cc,102.0,185.0,10.5,7.0,250.0,37800.0,28000.0
NISSAN,NV1500,Others,4.0L V6,Gas,3954 cc,261.0,160.0,9.5,12.0,385.0,44550.0,33000.0
Volkswagen,Taigo,Others,1.5L Turbo I4,Gas,1498 cc,95.0,183.0,10.0,5.0,200.0,32400.0,24000.0
Volkswagen,California,Suv,2.0L Turbo I4,Gas,1984 cc,150.0,180.0,13.0,7.0,340.0,94500.0,70000.0
Volkswagen,ID.3,Sedan,Electric,Electric,58 - 77 kWh,204.0,160.0,7.3,5.0,310.0,47250.0,35000.0
Volkswagen,ID. Buzz,Suv,Electric,Electric,77 kWh,204.0,145.0,10.2,7.0,310.0,80993.2,59995.0
Volkswagen,Golf GTI,Sedan,2.0L Turbo I4,Gas,1984 cc,245.0,250.0,5.9,5.0,350.0,43152.8,31965.0
Volkswagen,Golf R,Sedan,2.0L Turbo I4,Gas,1984 cc,315.0,250.0,4.6,5.0,420.0,60264.0,44640.0
Volkswagen,Passat Alltrack,Sedan,2.0L Turbo Diesel I4,Gas,1968 cc,190.0,220.0,7.8,5.0,400.0,48600.0,36000.0
Volkswagen,Polo GTI,Sedan,2.0L Turbo I4,Gas,1984 cc,204.0,238.0,6.7,5.0,320.0,37800.0,28000.0
Volkswagen,Up! GTI,Sedan,1.0L Turbo I3,Gas,999 cc,115.0,196.0,8.8,4.0,200.0,27000.0,20000.0
Volkswagen,T-Cross,Others,1.0L Turbo I3 / 1.5L Turbo I4,Gas,999 cc / 1498 cc,95.0,200.0,10.2,5.0,250.0,33750.0,25000.0
Volkswagen,ID.5,Sedan,Electric,Electric,77 kWh,174.0,180.0,8.4,5.0,310.0,60750.0,45000.0
Volkswagen,ID. Buzz Cargo,Sedan,Electric,Electric,77 kWh,204.0,145.0,10.2,3.0,310.0,74250.0,55000.0
Volkswagen,Touareg R,Sedan,Plug-in Hybrid V6,Hybrid,2995 cc,462.0,250.0,5.1,5.0,700.0,94500.0,70000.0
Volkswagen,Multivan,Suv,Plug-in Hybrid / Diesel I4,Gas,1395 cc / 1968 cc,150.0,190.0,9.4,7.0,350.0,67500.0,50000.0
Volkswagen,Polo BlueMotion,Others,1.2L Diesel I3,Gas,1199 cc,75.0,190.0,10.5,5.0,250.0,29700.0,22000.0
Volkswagen,Golf Sportsvan,Sedan,1.5L Turbo I4,Gas,1498 cc,130.0,210.0,8.9,5.0,250.0,40500.0,30000.0
Volkswagen,Golf Alltrack,Sedan,2.0L Turbo Diesel I4,Gas,1968 cc,147.0,210.0,7.1,5.0,350.0,47250.0,35000.0
Volkswagen,Scirocco R,Sports,2.0L Turbo I4,Gas,1984 cc,280.0,250.0,5.5,4.0,350.0,54000.0,40000.0
Volkswagen,Tiguan Allspace,Suv,2.0L Turbo I4,Gas,1984 cc,184.0,215.0,7.6,7.0,320.0,47250.0,35000.0
Volkswagen,Arteon 4MOTION,Sedan,2.0L Turbo I4,Gas,1984 cc,190.0,250.0,5.6,5.0,350.0,64800.0,48000.0
Volkswagen,ID.4 GTX,Sedan,Electric AWD,Electric,77 kWh,299.0,180.0,6.2,5.0,460.0,67500.0,50000.0
Volkswagen,ID.3 Pro,Sedan,Electric,Electric,58 kWh,204.0,160.0,7.3,5.0,310.0,47250.0,35000.0
Volkswagen,Golf Variant,Sedan,1.5L Turbo I4 / 2.0L Diesel I4,Gas,1498 cc / 1968 cc,130.0,220.0,7.5,5.0,320.0,43200.0,32000.0
Volkswagen,Crafter,Sedan,2.0L Turbo Diesel I4,Gas,1968 cc,102.0,160.0,13.0,3.0,410.0,54000.0,40000.0
Volkswagen,Lupo,Others,1.4L I3 Gas / 1.2L Diesel I3,Gas,1390 cc / 1199 cc,60.0,170.0,14.3,4.0,120.0,20250.0,15000.0
Volkswagen,Corrado,Sedan,2.9L VR6,Gas,2861 cc,190.0,235.0,6.4,4.0,245.0,33750.0,25000.0
Volkswagen,Phaeton,Sedan,3.0L V6 Diesel / 6.0L W12 Gas,Gas,2967 cc / 5998 cc,240.0,250.0,6.1,5.0,560.0,114750.0,85000.0
Volkswagen,Golf Cabriolet,Sedan,1.2L I4 Turbo / 2.0L I4 Turbo,Gas,1197 cc / 1984 cc,105.0,217.0,8.4,4.0,200.0,40500.0,30000.0
Volkswagen,Santana,Sedan,1.5L I4 Gas,Gas,1498 cc,110.0,190.0,12.9,5.0,145.0,20250.0,15000.0
Volkswagen,Polo Vivo,Others,1.4L I4 Gas / 1.6L I4 Gas,Gas,1390 cc / 1598 cc,85.0,170.0,10.8,5.0,132.0,18900.0,14000.0
Volkswagen,Karmann Ghia,Others,1.2L I4 Gas,Gas,1192 cc,34.0,138.0,23.0,2.0,106.0,33750.0,25000.0
Volkswagen,Fox,Others,1.2L I4 Gas / 1.4L I4 Gas,Gas,1198 cc / 1390 cc,55.0,148.0,17.5,5.0,93.0,16200.0,12000.0
Volkswagen,Vento,Sedan,1.6L I4 Gas / Diesel,Gas,1598 cc,105.0,186.0,11.7,5.0,153.0,24300.0,18000.0
Volkswagen,Golf Electric,Sedan,Electric,Electric,35.8 kWh,136.0,140.0,10.4,5.0,290.0,44550.0,33000.0
Volkswagen,Bora,Sedan,1.6L I4 Gas / 1.9L I4 Diesel,Gas,1598 cc / 1896 cc,100.0,200.0,9.4,5.0,220.0,27000.0,20000.0
Volkswagen,Teramont,Suv,2.0L I4 Turbo / 3.6L V6 Gas,Gas,1984 cc / 3597 cc,235.0,190.0,8.6,7.0,350.0,43200.0,32000.0
Volkswagen,Taos,Sedan,1.5L I4 Turbo,Gas,1498 cc,158.0,193.0,8.4,5.0,250.0,32400.0,24000.0
Volkswagen,Up! Cabriolet,Others,1.0L I3 Turbo,Gas,999 cc,82.0,160.0,12.4,4.0,95.0,24300.0,18000.0
Volkswagen,T-Roc Cabriolet,Sedan,1.0L I3 Turbo / 1.5L I4 Turbo,Gas,999 cc / 1498 cc,115.0,205.0,9.6,4.0,250.0,47250.0,35000.0
Volkswagen,Passat CC,Sedan,2.0L I4 Turbo,Gas,1984 cc,200.0,240.0,7.3,5.0,280.0,54000.0,40000.0
Volkswagen,Transporter,Bus/truck,2.0L I4 Turbo Diesel,Gas,1968 cc,102.0,180.0,12.2,9.0,340.0,47250.0,35000.0
Volkswagen,Amarok V6,Sedan,3.0L V6 Turbo Diesel,Gas,2967 cc,204.0,191.0,7.9,5.0,580.0,60750.0,45000.0
Volkswagen,ID.2,Sedan,Electric,Electric,~50 kWh (Estimate),170.0,160.0,8.0,5.0,220.0,33750.0,25000.0
Volkswagen,Polo TDI,Others,1.4L I4 Diesel / 1.6L Diesel,Gas,1390 cc / 1598 cc,75.0,190.0,9.9,5.0,250.0,27000.0,20000.0
Volkswagen,Golf GTE,Sedan,Plug-in Hybrid (1.4L I4 Turbo),Hybrid,1395 cc + Electric Motor,204.0,222.0,7.6,5.0,350.0,54000.0,40000.0
Volkswagen,Touareg V8,Sedan,4.0L V8 Turbo Diesel,Gas,3956 cc,421.0,250.0,4.9,5.0,770.0,94500.0,70000.0
Volkswagen,Beetle Dune,Sedan,1.4L I4 Turbo,Gas,1395 cc,150.0,200.0,7.5,4.0,250.0,40500.0,30000.0
Volkswagen,Passat B8,Sedan,1.5L I4 Turbo / 2.0L Diesel,Gas,1498 cc / 1968 cc,150.0,210.0,8.7,5.0,250.0,37800.0,28000.0
Volkswagen,ID.4 Pro S,Sedan,Electric,Electric,77 kWh,201.0,180.0,7.8,5.0,310.0,60750.0,45000.0
Volkswagen,Golf Cabriolet,Sedan,1.2L I4 Turbo / 2.0L I4 Turbo,Gas,1197 cc / 1984 cc,105.0,217.0,8.4,4.0,200.0,40500.0,30000.0
Volkswagen,Golf Country,Others,1.8L I4 Gas,Gas,1781 cc,98.0,165.0,12.0,5.0,170.0,33750.0,25000.0
Volkswagen,Jetta GLI,Sedan,2.0L I4 Turbo,Gas,1984 cc,228.0,250.0,6.5,5.0,350.0,41850.0,31000.0
Volkswagen,Arteon Shooting Brake,Sedan,2.0L I4 Turbo,Gas,1984 cc,150.0,250.0,5.6,5.0,420.0,67500.0,50000.0
Volkswagen,T-Cross R-Line,Sedan,1.0L I3 Turbo / 1.5L I4 Turbo,Gas,999 cc / 1498 cc,115.0,200.0,8.5,5.0,250.0,36450.0,27000.0
Volkswagen,Golf R32,Sedan,3.2L VR6,Gas,3189 cc,240.0,250.0,6.2,5.0,320.0,54000.0,40000.0
Volkswagen,Passat B7,Sedan,1.6L Diesel / 2.0L I4 Turbo,Gas,1598 cc / 1984 cc,120.0,220.0,8.5,5.0,280.0,35100.0,26000.0
Volkswagen,Scirocco 16V,Sedan,1.8L I4 Gas,Gas,1781 cc,137.0,220.0,7.1,4.0,230.0,47250.0,35000.0
Volkswagen,Polo BlueMotion,Others,1.2L Diesel I3,Gas,1199 cc,75.0,190.0,10.5,5.0,210.0,27000.0,20000.0
Volkswagen,Golf Variant GTD,Sedan,2.0L Diesel I4,Gas,1968 cc,184.0,230.0,7.5,5.0,380.0,51300.0,38000.0
Volkswagen,Polo GTI R5,Sedan,1.6L Turbocharged Rally Engine,Gas,1598 cc,272.0,200.0,4.1,5.0,400.0,60750.0,45000.0
Volkswagen,ID. Buzz Pro,Suv,Electric,Electric,77 kWh,204.0,145.0,10.2,7.0,310.0,81000.0,60000.0
Volkswagen,Jetta Hybrid,Sedan,1.4L I4 Turbo + Electric Motor,Hybrid,1395 cc,170.0,210.0,8.6,5.0,250.0,37800.0,28000.0
Volkswagen,Golf Variant Alltrack,Sedan,2.0L Diesel I4,Gas,1968 cc,150.0,220.0,7.8,5.0,320.0,47250.0,35000.0
Volkswagen,Volkswagen XL1,Others,Plug-in Hybrid (0.8L I2 Diesel),Hybrid,800 cc + Electric Motor,68.0,160.0,11.9,2.0,140.0,202500.0,150000.0
Volkswagen,Golf TDI,Sedan,2.0L Diesel I4,Gas,1968 cc,150.0,220.0,8.0,5.0,350.0,37800.0,28000.0
Volkswagen,Passat Variant,Sedan,1.5L I4 Turbo / 2.0L Diesel,Gas,1498 cc / 1968 cc,150.0,220.0,8.5,5.0,280.0,40500.0,30000.0
Volkswagen,Polo GTI Clubsport,Sedan,2.0L I4 Turbo,Gas,1984 cc,300.0,240.0,6.7,5.0,320.0,40500.0,30000.0
Volkswagen,Jetta Hybrid,Sedan,1.4L I4 Turbo + Electric Motor,Hybrid,1395 cc,170.0,210.0,8.6,5.0,250.0,37800.0,28000.0
Volkswagen,ID.3 GTX,Sedan,Electric,Electric,77 kWh,299.0,180.0,6.2,5.0,310.0,60750.0,45000.0
Volkswagen,Arteon R-Line,Sedan,2.0L I4 Turbo,Gas,1984 cc,190.0,250.0,5.6,5.0,420.0,67500.0,50000.0
Volkswagen,Golf TGI,Sedan,1.5L I4 CNG,Gas,1498 cc,130.0,220.0,8.8,5.0,200.0,40500.0,30000.0
Volkswagen,Scirocco GTS,Sports,2.0L I4 Turbo,Gas,1984 cc,220.0,246.0,6.5,4.0,350.0,47250.0,35000.0
Volkswagen,Caddy Maxi,Suv,2.0L Diesel I4,Gas,1968 cc,122.0,180.0,12.0,7.0,250.0,33750.0,25000.0
Volkswagen,Volkswagen Lupo 3L,Others,1.2L Diesel I3,Gas,1199 cc,61.0,165.0,14.5,4.0,140.0,27000.0,20000.0
Volkswagen,Polo Beats,Others,1.0L I3 Turbo,Gas,999 cc,95.0,187.0,9.5,5.0,175.0,29700.0,22000.0
Volkswagen,Passat Hybrid,Sedan,1.4L I4 Turbo + Electric Motor,Hybrid,1395 cc,215.0,210.0,7.4,5.0,330.0,43200.0,32000.0
Volkswagen,Golf TCR,Sedan,2.0L I4 Turbo,Gas,1984 cc,290.0,250.0,5.6,5.0,370.0,54000.0,40000.0
Volkswagen,Tiguan R-Line,Sedan,2.0L I4 Turbo,Gas,1984 cc,190.0,250.0,4.9,5.0,420.0,60750.0,45000.0
Volkswagen,Sharan Business,Bus/truck,2.0L Diesel I4,Gas,1968 cc,150.0,200.0,8.3,7.0,350.0,47250.0,35000.0
Volkswagen,ID. Buzz Cargo Pro,Coupe,Electric,Electric,77 kWh,204.0,145.0,10.2,2.0,310.0,74250.0,55000.0
Volkswagen,Arteon 280 TSI,Sedan,2.0L I4 Turbo,Gas,1984 cc,280.0,250.0,5.6,5.0,350.0,67500.0,50000.0
Volkswagen,Jetta GLI 35th,Sedan,2.0L I4 Turbo,Gas,1984 cc,228.0,250.0,6.5,5.0,350.0,41850.0,31000.0
Volkswagen,Beetle Final Edition,Sedan,2.0L I4 Turbo,Gas,1984 cc,174.0,205.0,7.0,4.0,250.0,33750.0,25000.0
Volkswagen,Golf Variant TDI,Sedan,2.0L Diesel I4,Gas,1968 cc,150.0,220.0,7.8,5.0,350.0,40500.0,30000.0
Volkswagen,Golf 4MOTION,Sedan,2.0L Diesel I4,Gas,1968 cc,150.0,250.0,4.9,5.0,400.0,54000.0,40000.0
Volkswagen,Jetta SportWagen,Sedan,1.4L I4 Turbo / 2.0L Diesel I4,Gas,1395 cc / 1968 cc,147.0,200.0,8.5,5.0,250.0,36450.0,27000.0
Volkswagen,Polo GTI Plus,Sedan,2.0L I4 Turbo,Gas,1984 cc,207.0,237.0,6.7,5.0,320.0,40500.0,30000.0
Volkswagen,Touareg V6,Sedan,3.0L V6 Turbo Diesel / Gasoline,Gas,2967 cc,231.0,235.0,7.5,5.0,450.0,81000.0,60000.0
Volkswagen,Tiguan eHybrid,Sedan,1.4L I4 Turbo + Electric Motor,Hybrid,1395 cc + Battery,245.0,200.0,7.5,5.0,400.0,56700.0,42000.0
Volkswagen,Up! e-up!,Others,Electric,Electric,32.3 kWh,83.0,130.0,11.9,4.0,210.0,31050.0,23000.0
Volkswagen,Amarok V8,Sedan,4.0L V8 Turbo Diesel,Gas,3996 cc,310.0,210.0,7.4,5.0,580.0,94500.0,70000.0
Volkswagen,Golf R Cabriolet,Sports,2.0L I4 Turbo,Gas,1984 cc,265.0,250.0,5.9,4.0,380.0,60750.0,45000.0
Volkswagen,Passat Alltrack TDI,Sedan,2.0L Diesel I4,Gas,1968 cc,190.0,220.0,8.0,5.0,400.0,54000.0,40000.0
Volkswagen,ID. Buzz Cargo EV,Coupe,Electric,Electric,77 kWh,204.0,145.0,10.2,2.0,310.0,74250.0,55000.0
NISSAN,Versa,Sedan,1.6L Inline-4,Gas,1598 cc,122.0,180.0,10.4,5.0,154.0,22545.0,16700.0
NISSAN,Micra,Sedan,1.0L Turbocharged Inline-3,Gas,999 cc,100.0,175.0,10.8,5.0,160.0,20925.0,15500.0
NISSAN,Patrol Platinum,Suv,5.6L V8,Gas,5552 cc,400.0,210.0,7.3,7.0,560.0,103950.0,77000.0
NISSAN,Qashqai,Sedan,1.3L Turbocharged Inline-4,Gas,1332 cc,156.0,195.0,8.9,5.0,260.0,35100.0,26000.0
NISSAN,Murano,Sedan,3.5L V6,Gas,3498 cc,260.0,210.0,7.5,5.0,325.0,52650.0,39000.0
NISSAN,Maxima Platinum,Sedan,3.5L V6,Gas,3498 cc,300.0,220.0,6.2,5.0,353.0,60750.0,45000.0
NISSAN,Armada,Others,5.6L V8,Gas,5552 cc,400.0,210.0,6.5,8.0,560.0,68850.0,51000.0
NISSAN,Kicks,Sedan,1.6L Inline-4,Gas,1598 cc,122.0,180.0,10.7,5.0,154.0,27000.0,20000.0
NISSAN,X-Trail,Sedan,1.5L Turbocharged Inline-3,Hybrid,1498 cc,201.0,200.0,8.0,5.0,305.0,39150.0,29000.0
NISSAN,Z (Fairlady Z),Sports,3.0L Twin-Turbo V6,Gas,2997 cc,400.0,250.0,4.5,2.0,475.0,54000.0,40000.0
NISSAN,Almera,Sedan,1.0L Turbocharged Inline-3,Gas,999 cc,100.0,185.0,10.7,5.0,160.0,19575.0,14500.0
NISSAN,Sylphy,Sedan,1.8L Inline-4,Gas,1798 cc,137.0,190.0,9.6,5.0,174.0,24300.0,18000.0
NISSAN,Note,Sedan,1.2L Inline-3 Hybrid,Hybrid,1198 cc,109.0,170.0,11.5,5.0,150.0,21600.0,16000.0
NISSAN,Sunny,Sedan,1.6L Inline-4,Gas,1598 cc,118.0,180.0,11.0,5.0,156.0,20250.0,15000.0
NISSAN,Cube,Sedan,1.8L Inline-4,Gas,1798 cc,122.0,175.0,10.6,5.0,171.0,19575.0,14500.0
NISSAN,Juke,Sedan,1.0L Turbocharged Inline-3,Gas,999 cc,117.0,180.0,10.4,5.0,180.0,33750.0,25000.0
NISSAN,Terrano,Sedan,1.5L Inline-4 Diesel,Gas,1461 cc,110.0,168.0,13.5,5.0,248.0,20925.0,15500.0
NISSAN,Magnite,Sedan,1.0L Turbocharged Inline-3,Gas,999 cc,100.0,160.0,13.0,5.0,160.0,16200.0,12000.0
NISSAN,Xterra,Suv,4.0L V6,Gas,3954 cc,261.0,200.0,7.8,7.0,381.0,47250.0,35000.0
NISSAN,Patrol,Suv,5.6L V8,Gas,5552 cc,400.0,210.0,7.3,7.0,560.0,103950.0,77000.0
NISSAN,GT-R NISMO,Sports,3.8L Twin-Turbo V6,Gas,3799 cc,600.0,330.0,2.9,2.0,652.0,297000.0,220000.0
NISSAN,370Z Roadster,Sports,3.7L V6,Gas,3696 cc,332.0,250.0,5.5,2.0,366.0,56457.0,41820.0
